"Gary Cooper (*May 7, 1901)","actor, singer",,US
,,,
"Ishiro Honda (*May 7, 1911)",director,,JP
,,,
"Josip Broz Tito (*May 7, 1892)",1st President of Yugoslavia,,HR
,,,
Peter Ilyich Tchaikovsky,composer,,RU
"(*May 7, 1840)",,,
,,,
"Johannes Brahms (*May 7, 1833)",composer,,DE
,,,
"Robert Browning (*May 7, 1812)","writer, poet",,GB
,,,
"David Hume (*May 7, 1711)",philosopher,,GB
,,,
"Vladimír Drha (*May 7, 1944)","director, scriptwriter",,CZ
,,,
"Wladyslaw Reymont (*May 7, 1867)",novelist,,PL
,,,
"Lisa Kelly (*May 7, 1977)",singer,,IE
,,,
"Snovonne (*May 7, 1984)",singer,,XX
,,,
"Asami Konno (*May 7, 1987)",singer,,JP
,,,
"Natalie Mejia (*May 7, 1988)","singer, dancer",,US
,,,
"Susan Atkins (*May 7, 1948)",murderess,,US
,,,
"Dominique Aubier (*May 7, 1922)",writer,,FR
,,,
"Joseph Cannon (*May 7, 1836)","politician, lawyer",,US
,,,
"Hans Cousto (*May 7, 1948)",astrologer,,CH
,,,
"Willem Elsschot (*May 7, 1882)",writer,,BE
,,,
"Philippe Geluck (*May 7, 1954)",,,BE
,,,
"Jean-Philippe Lauer (*May 7, 1902)",architect,,FR
,,,
"Ruud Lubbers (*May 7, 1939)",politician,,NL
,,,
"Henri Pourrat (*May 7, 1887)",writer,,FR
,,,
"Archibald Primrose (*May 7, 1847)",politician,,GB
,,,
"Josep Lluís Sert (*May 7, 1901)",architect,,ES
,,,
"Rabindranath Tagore (*May 7, 1861)","writer, poet",,IN
,,,
"Bernard Ullathorne (*May 7, 1806)",,,GB
,,,
"David Tomlinson (*May 7, 1917)",actor,,GB
,,,
Tereza Brodská (*1968),actress,,CZ
,,,
"Ruggero Deodato (*May 7, 1939)","director, actor",,IT
,,,
"John Irvin (*May 7, 1940)","director, actor",,GB
,,,
"Dominik Moll (*May 7, 1962)","actor, director, scriptwriter",,DE
,,,
"Nicholas Hytner (*May 7, 1956)","director, actor",,GB
,,,
"Breckin Meyer (*May 7, 1974)",actor,,US
,,,
"Lilyan Chauvin (*May 7, 1925)",actress,,FR
,,,
"Anne Baxter (*May 7, 1923)",actress,,US
,,,
"Ralph Truman (*May 7, 1900)",actor,,GB
,,,
"Véronique Jannot (*May 7, 1957)","singer, writer, actress",,FR
,,,
"Gerhard Polt (*May 7, 1942)","actor, director, scriptwriter",,DE
,,,
"Roger Perry (*May 7, 1933)",actor,,US
,,,
"George Archainbaud (*May 7, 1890)",director,,FR
,,,
"Marie Bäumer (*May 7, 1969)",actress,,DE
,,,
"Amy Heckerling (*May 7, 1954)","actress, director",,US
,,,
"Ivan Sergei (*May 7, 1971)","actor, director",,US
,,,
"Rubi D'Alma (*May 7, 1908)",,,IT
,,,
"Albert Band (*May 7, 1924)","director, actor",,FR
,,,
"Christoffer Boe (*May 7, 1974)","actor, director, scriptwriter",,DK
,,,
"Darren McGavin (*May 7, 1922)",actor,,US
,,,
"Ivan Rassimov (*May 7, 1938)",actor,,IT
,,,
Traci Elizabeth Lords,actress,,US
"(*May 7, 1968)",,,
,,,
"Irving Reis (*May 7, 1906)",director,,US
,,,
"Adam Bernstein (*May 7, 1960)","composer, actor, director",,US
,,,
"Emilie Deleuze (*May 7, 1964)",director,,FR
,,,
"Pjer Zalica (*May 7, 1964)",director,,BA
,,,
"Karen-Lise Mynster (*May 7, 1952)",,,XX
,,,
"Su-ro Kim (*May 7, 1970)",actor,,KR
,,,
"Nele Mueller-Stöfen (*May 7, 1967)",,,DE
,,,
"John Fleck (*May 7, 1951)",actor,,XX
,,,
"Radoslaw Pazura (*May 7, 1969)",actor,,PL
,,,
"Lynn Reynolds (*May 7, 1891)","actress, director, scriptwriter",,US
,,,
"Joshua Sinclair (*May 7, 1953)","actor, director",,US
,,,
"Ned Bellamy (*May 7, 1957)",actor,,US
,,,
"Eva Perón (*May 7, 1919)",actress,,AR
,,,
"Stanislav Látal (*May 7, 1919)","director, scriptwriter",,CZ
,,,
"Yôsuke Kubozuka (*May 7, 1979)",actor,,JP
,,,
"Donal McCann (*May 7, 1943)",actor,,IE
,,,
"John Ingle (*May 7, 1928)",actor,,US
,,,
"Marco St. John (*May 7, 1939)",actor,,US
,,,
"Jun Falkenstein (*May 7, 1969)",director,,US
,,,
Lucile Hadzihalilovic,"actress, director",,FR
"(*May 7, 1961)",,,
,,,
"Gertraud Last (*May 7, 1921)",,,XX
,,,
"Ji-woo Jung (*May 7, 1968)",director,,KR
,,,
Zora Cejnková (*1971),"director, scriptwriter",,CZ
,,,
"Carrie Henn (*May 7, 1976)",actress,,US
,,,
"Mária Hojerová (*May 7, 1912)",actress,,SK
,,,
"Ladislav Kulhánek (*May 7, 1898)",actor,,CZ
,,,
"Jana Ebertová (*May 7, 1920)",actress,,CZ
,,,
"Vladimír Pospíšil (*May 7, 1931)",actor,,CZ
,,,
Marie Landová (*1934),actress,,CE
,,,
Jindřich Hinke (*1952),actor,,CZ
,,,
"Pascual Nacarati (*May 7, 1907)",,,AR
,,,
"Robbie Jarvis (*May 7, 1986)",actor,,GB
,,,
Kateřina Janečková (*1984),actress,,CZ
,,,
Miloslav Kučera (*1956),director,,CZ
,,,
"Vladimir Bortko (*May 7, 1946)","director, actor",,RU
,,,
Iva Kubelková (*1977),"actress, model, presenter",,CZ
,,,
"Kamal Ahmed (*May 7, 1966)","actor, director",,US
,,,
"Gard B. Eidsvold (*May 7, 1966)",,,XX
,,,
"Maud Forget (*May 7, 1982)",,,FR
,,,
Adam Mišík (*1997),"composer, singer, actor, dancer, voice actor",,CZ
,,,
"Maciej Zakoscielny (*May 7, 1980)",actor,,PL
,,,
"Silvia Popovici (*May 7, 1933)",actress,,RO
,,,
"Pavel Stránský (*May 7, 1967)",actor,,XX
,,,
"Nicole Sheridan (*May 7, 1975)",actress,,US
,,,
"Maggie Peren (*May 7, 1974)","actress, director, scriptwriter",,DE
,,,
"Gordon Davidson (*May 7, 1933)","actor, director",,US
,,,
Miroslava Součková (*1965),"actress, voice actress",,CZ
,,,
"Stano Radič (*May 7, 1955)",presenter,,SK
,,,
Jiří Ovečka (*1960),"director, actor",,CZ
,,,
"Matt Helders (*May 7, 1986)",actor,,GB
,,,
"Gábor Ferenczi (*May 7, 1950)","actor, director",,HU
,,,
"Elizaveta Skvortsova (*May 7, 1978)",director,,CP
,,,
"Bernd Tauber (*May 7, 1950)",actor,,DE
,,,
"Axel Corti (*May 7, 1933)","writer, actor, director, scriptwriter",,FR
,,,
Jan Kobler (*1987),director,,CZ
,,,
"Alexander Ludwig (*May 7, 1992)","actor, singer",,CA
,,,
"Edwin Freeman (*May 7, 1978)",actor,,US
,,,
"Nadja Bobyleva (*May 7, 1983)","actress, director",,RU
,,,
"Estelle Clark (*May 7, 1898)",actress,,PL
,,,
"Anne Dudley (*May 7, 1956)","composer, actress",,GB
,,,
Ľubomír Paľaga (*1986),actor,,SK
,,,
"Zoé Félix (*May 7, 1976)",actress,,FR
,,,
"Ari Telch (*May 7, 1962)",actor,,MX
,,,
"Xiao Shen-Yang (*May 7, 1981)",,,CN
,,,
Bohumír Novák (*1961),director,,CZ
,,,
"David Franklin (*May 7, 1962)",actor,,AU
,,,
"Claude Stratz (*May 7, 1946)","director, scriptwriter",,CH
,,,
"Jacques Duby (*May 7, 1922)",actor,,FR
,,,
"Gaston Rébuffat (*May 7, 1921)",actor,,FR
,,,
"Veronika Vernadskaya (*May 7, 1995)",actress,,XX
,,,
"Ed Geldart (*May 7, 1925)",actor,,US
,,,
"Jean Cornec (*May 7, 1919)",writer,,FR
,,,
"Elijah Nelson (*May 7, 1999)",actor,,XX
,,,
"Edmund MacDonald (*May 7, 1908)",actor,,US
,,,
"John Wilcox (*May 7, 1905)",cameraman,,GB
,,,
"Lawrence Cook (*May 7, 1930)",actor,,US
,,,
Adriana Bajtková (*1989),"actress, singer",,CZ
,,,
"Scott Burkhardt (*May 7, 1975)","actor, scriptwriter",,XX
,,,
"Peter Reckell (*May 7, 1955)",actor,,US
,,,
"Stellio Lorenzi (*May 7, 1921)","director, scriptwriter",,FR
,,,
"Ivan Gariš (*May 7, 1923)","writer, actor, scriptwriter",,CZ
,,,
"Robert Kirchhoff (*May 7, 1968)","actor, director, cameraman, scriptwriter",,XX
,,,
"Randall 'Tex' Cobb (*May 7, 1950)",actor,,US
,,,
"A. E. W. Mason (*May 7, 1865)","writer, politician",,GB
,,,
Vladislav Rousek (*1998),actor,,CZ
,,,
"Ruth Prawer Jhabvala (*May 7, 1927)",,,DE
,,,
"Marcel Moussy (*May 7, 1924)","director, scriptwriter",,FR
,,,
"George Stoll (*May 7, 1902)",director,,US
,,,
"Jan Novák (*May 7, 1918)",cameraman,,CZ
,,,
"Aarne J. Tenhovaara (*May 7, 1890)",photographer,,FI
,,,
